Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
500bU00000bohlXQAQ,01248729,Amministrazione,Altro - Servizi Aggiunti,,1.4.1 Esperienza dei servizi pubblici,Allegare documenti,Non riesco ad allegare i documenti richiesti.,"<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Ti informiamo che al fine di vedere abilitato il tasto &quot;Carica documento&quot; per l&#39;upload del CRE firmato, è necessario prima cliccare sul box soprastante &quot;Modello - CRE _<em style=""font-size: 11px;"">Scarica il .doc</em>_&quot;.</p><p>Una volta cliccato sul box sarà possibile poi ricaricare il documento firmato digitalmente in quanto il tasto sarà abilitato. Ti invitiamo a procedere e ti ricordiamo che avendo completato il progetto in questa fase il cronoprogramma non è più valido, pertanto non è prevista una scadenza per concludere il caricamento della documentazione. </p>","Ho effettuato la procedura da voi indicata ma ancora non riesco a caricare i documenti. Il pulsante ""carica documento"" è colorato ma cliccandolo non consente di caricare nulla. Inoltre ho scaricato il modello CRE come da voi suggerito ma il tasto carica documento rimane ancora non cliccabile.","<p>Al fine della risoluzione della problematica ti chiediamo, in merito al documento Allegato 5, di ritornare nella sezione di richiesta di erogazione del finanziamento, provare a caricare l&#39;allegato 5 firmato e successivamente, anche in presenza di errore, <strong>non rimuovere il documento</strong>. In merito al CRE ti chiediamo di aprire una nuova segnalazione da area privata e allegare ad essa il documento certificato di regolare esecuzione del RUP firmato digitalmente. </p>",https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bohlXQAQ/view
500bU00000bovazQAA,01248730,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.1 Esperienza dei servizi pubblici,Caricamento documento Firmato da parte del legale rappresentante,"[FAKE_INDIRIZZO], abbiamo completato il progetto e in fase di caricamento Documento firmato da parte del [FAKE_INDIRIZZO] abbiamo dei problemi perchè dice che la firma non è valida o è scaduta. Però la firma risulta valida fino a luglio 2026. 
Ho fatto rigenerare il file oggi, ma non le piace comunque. Come dobbiamo comportarci?","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bovazQAA/view
500bU00000bp4eUQAQ,01248731,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.2 Abilitazione e facilitazione migrazione al Cloud,Caricamento File,"[FAKE_INDIRIZZO], abbiamo completato il progetto e in fase di caricamento Documento firmato da parte del [FAKE_INDIRIZZO] abbiamo dei problemi perchè dice che la firma non è valida o è scaduta. Però la firma risulta valida fino a luglio 2026. 
Come dobbiamo comportarci?","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bp4eUQAQ/view
500bU00000bowUAQAY,01248732,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.4 Adozione ANPR ANSC,Invio Documenti Legale Rappresentante,"[FAKE_INDIRIZZO], abbiamo completato il progetto e in fase di caricamento Documento firmato da parte del [FAKE_INDIRIZZO] abbiamo dei problemi perchè dice che la firma non è valida o è scaduta. Però la firma risulta valida fino a luglio 2026. 
Come dobbiamo comportarci?","<p>[FAKE_PERSON], stiamo riscontrando la presenza di un&#39;anomalia sul corretto riconoscimento della validità della scadenza del certificato di firma. Ciò premesso ti chiediamo comunque di caricare in piattaforma il documento firmato, di non rimuoverlo in presenza dell’errore citato e di aprire una nuova richiesta di supporto per segnalarci l’avvenuto caricamento. Procederemo a verificare la causa del blocco per escludere che il documento firmato e caricato sia compromesso o modificato, al netto della firma apposta, rispetto all&#39;originale scaricato. In caso di verifica positiva, e nostro eventuale intervento di bonifica, ti forniremo riscontro e potrai proseguire</p>","[FAKE_PERSON], ho il problema per la 1.4.1, 1.2 e 1.4.4 ho aperto i rispettivi ticket. Ok attendo quindi vostro riscontro.","Gentile utente, ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bowUAQAY/view
500bU00000bpCF7QAM,01248733,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.4 Adozione ANPR ANSC,RICHIESTA DI FINANZIAMENTO INOLTRO DOMANDA,"NELLA FASE DI CARICAMENTO DELLA RICHIESTA DI FINANZIAMENTO, LA STESSA NON VIENE CARICATA DANDO ERRORE ""FIRMA NON VALIDA  PER SCADENZA TEMPORALE O CERTIFICATO [FAKE_INDIRIZZO]"". VERIFICATO CHE [FAKE_INDIRIZZO] E' COSì SERVE ASSISTENZA PER COMPLETARE L'ITER. OGGI E' L'ULTIMO GIORNO PER LA RICHIESTA DEL FINANZIAMENTO","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bpCF7QAM/view
500bU00000bp2jbQAA,01248734,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.3.1 ANNCSU,Richiesta di erogazione finanziamento,"[FAKE_INDIRIZZO],

in fase di inserimento della richiesta di erogazione finanziamento, viene ripetutament segnalato errore sulla firma dell'Allegato 5.
Il certificato di firma è valido.","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bp2jbQAA/view
500bU00000bpMUnQAM,01248735,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.1 Esperienza dei servizi pubblici,[FAKE_PERSON] di erogazione finanziamento: messaggio di firma digitale non valida,"[FAKE_INDIRIZZO],

dopo avere scaricato e firmato, con certificato di firma valido, la domanda di erogazione finanziamento,  il sistema mostra il messaggio di errore di firma non valida. Stesso errore sia con formato PAdes che [FAKE_PERSON]
In allegato screen di errore e validità certificato firma.

Si richiede gentilmente supporto in merito.

Grazie,
[FAKE_PERSON]","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bpMUnQAM/view
500bU00000bpMzkQAE,01248736,,Altro - Servizi Aggiunti,,1.2 Abilitazione e facilitazione migrazione al Cloud,URGENTE registrazione dirigente,non si riesce a completare la registrazione della dirigente scolastica LUIGIA SANTORO ISTITUTO COMPRENSIVO [FAKE_INDIRIZZO] C.F. [FAKE_CODICE_FISCALE]  UTENTE SIDI luigia.santoro1,"<p>Ti informiamo che nel caso in cui il nuovo Rappresentante Legale intenda acquisire anche il ruolo di “Super Admin” per agire in piattaforma [FAKE_INDIRIZZO] digitale 2026 e gestire le utenze, occorre attuare una procedura di subentro in piattaforma al fine di rendere attiva l&#39;utenza del nuovo Rappresentante Legale in piattaforma e rimuovere la precedente utenza Super Admin attiva .</p><p> A seguire illustriamo la procedura di subentro</p><p>- L&#39;utente subentrante procede ad accedere alla piattaforma con il suo Spid e inserisce i dati della [FAKE_INDIRIZZO] in cui vuole subentrare </p><p>- La piattaforma segnalerà che la [FAKE_INDIRIZZO] è già attiva e chiederà se si vuole procedere ad un subentro. In tal caso, la piattaforma invierà una PEC di &quot;Conferma subentro&quot; [FAKE_INDIRIZZO] PEC indicato per l&#39;ente su IPA. </p><p>- L&#39;utente subentrante confermerà il subentro tramite un click sull&#39;apposito tasto presente nella PEC di conferma subentro e sarà rimandato alla home page dove procederà a fare l&#39;accesso con le proprie credenziali, al fine di confermare definitivamente il subentro e rimuovere il precedente utente. Precisiamo che non è sufficiente la sola conferma del link presente nell’email ma è necessario successivamente procedere all’autenticazione con SPID alla piattaforma, nella stessa sessione. </p><p>- A completamento dell&#39;operazione, l&#39;utente subentrante è tenuto a a completare la modifica degli altri dati anagrafici (CF, data e luogo di nascita) direttamente in piattaforma nella sezione &quot;La mia PA&quot; della [FAKE_INDIRIZZO], all&#39;interno dell&#39;Area riservata, a cui dovrà accedere il Rappresentante Legale, dopo aver effettuato login alla piattaforma con il proprio SPID. </p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bpMzkQAE/view
500bU00000bpGQ5QAM,01248737,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,2.2.3 Digitalizzazione delle procedure SUAP e SUE,Certificato di firma scaduto.,"[FAKE_INDIRIZZO],

dopo avere scaricato e firmato, con certificato di firma valido, il file ""Uffici comunali oggetto dell'adeguamento"",  il sistema mostra il messaggio di errore di firma non valida. Stesso errore sia con formato PAdes che [FAKE_PERSON]
In allegato screen di errore.

Si richiede gentilmente supporto in merito.

Grazie,
[FAKE_PERSON]","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bpGQ5QAM/view
500bU00000bpZpiQAE,01248738,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,2.2.3 Digitalizzazione delle procedure SUAP e SUE,Misura 2.2.3 FILE FIRMATO DIGITALMENTE NON ACCETTATO,"""Uffici comunali oggetto dell'adeguamento.p7m"" la piattaforma non accetta il file in quanto ritiene che la firma digitale sia non valida o scaduta. [FAKE_PERSON] file per le vostre verifiche","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bpZpiQAE/view
