_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c
[Case],5007Q00000ZGMqeQAH,01152920,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,,Territorio - accesso al portale del sindaco del Comune di Castelletto Merli,"Nel comune di Castelletto Merli, c_c160, il dipendente accreditato ad accedere a PADigitale ha lasciato l'ente. Il legale rappresentante, sindaco da poco, è correttamente configurato su IPA e ha firmato digitalmente i documenti degli avvisi, ma NON PUO' accedere a padigitale, in quanto l'accesso risulta ancora a nome della vecchia dipendente  e ogni volta che deve caricare un documento le deve ""chiedere un favore"". Si chiede di abilitare il sindaco. Grazie",,,
[Case],5007Q00000ZGMrIQAX,01152921,Amministrazione,Altro - Servizi Aggiunti,Tempi e scadenze di realizzazione degli interventi,,RICHIESTA PROROGA ANCORA NON ACCETTATA,"Buongiorno ho richiesto una proroga di 60 gg per la misura 1.4.5 in scadenza al 20/11/2023 ma al momento ancora non ricevo risposta. Per evitare che il sistema annulli il progetto per scadenza dei termini volevo sollecitare l'esito della richiesta.
Grazie
ing. Alberto Lotti",,,
[Case],5007Q00000ZGMsuQAH,01152922,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.5 Digitalizzazione degli avvisi pubblici,SOLLECITO PER RICHIESTA DI PROROGA,"BUONGIORNO VI CONTATTO DAL COMUNE DI SAN GIOVANNI ROTONDO.
HO RICHIESTO UNA PROROGA DI 60 GG PER LA MISURA 1.4.5 MA AD OGGI ANCORA NON RICEVO ESITO. DATO CHE LA SCADENZA E' PROSSIMA PERCHE' E' FISSATA PER IL 20.11.2023 VORREI EVITARE CHE IL SISTEMA MI ANNULLI IL PROGETTO PER SCADENZA DEI TERMINI.
GRAZIE 
ING. ALBERTO LOTTI","<p>Gentile Alberto, grazie per averci contattato.</p><p>Ti informiamo che la richiesta di proroga è in valutazione. Ti informiamo altresì che non esiste una tempistica certa da fornirti per l&#39;evasione di tale richiesta, per la quale riceverai comunque riscontro entro la scadenza fissata dall&#39;attuale cronoprogramma. Pertanto ti invitiamo ad attendere. </p><p><br></p>",,
[Case],5007Q00000ZGMtEQAX,01152923,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.3 Adozione appIO,Richiesta reset - ISTANZA DI MODIFICA DA ANNULLARE E RIPRESENTARE,"Buongiorno,
con la presente si richiede la possibilità di resettare la richiesta di ""Modifica Istanza"" per la candidatura misura 1.4.3. Appio, in quanto non sono stati richiesti tutti i servizi da sostituire di cui necessitavamo.
E' possibile procedere ad eliminare la richiesta effettuata oggi? (ci sono solo 17 servizi ma andrebbero modificati anche gli altri 18 restanti praticamente). 
Attendendo un gentile riscontro 
si porgono cordiali saluti","<p>Gentile Eleonora, grazie per averci contattato. Ti informiamo che l&#39;istanza di modifica è stata rigettata. Puoi procedere ad effettuare una nuova istanza inserendo tutti i servizi che l&#39;ente intende modificare.</p>",,
[Case],5007Q00000ZGMv2QAH,01152963,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Documentazione tecnica di avvio e chiusura interventi,1.4.5 Digitalizzazione degli avvisi pubblici,Mancata valorizzazione date notifica digitale Tributi Maggiori,"Buongiorno, 
pur avendo effettuato la notifica in data 7 novembre, non vedo valorizzate nel portale le date relative a: ""Data di creazione della notifica"" e ""Data di chiamata dell’API di costo notifica"". 
Come indicatomi al partner tecnologico, ho contatto il call center di PagoPA ma purtroppo non mi hanno saputo aiutare.
Come devo procedere?
Ringrazio e saluto cordialmente 

Simona Marchetti","<p>Gentile Simona, grazie per averci contattato.</p><p>Ti confermiamo che la Piattaforma PA Digitale 2026 precarica i dati dell&#39;Amministrazione presenti nella banca dati PagoPA. È altresì necessario considerare che le attività di consolidamento dei dati e trasferimento dai registri di PagoPA S.p.a. alla piattaforma PA digitale 2026 hanno una latenza di alcune settimane. Ti informiamo inoltre che, al fine di preservare i giorni previsti da cronoprogramma per il completamento delle attività, è comunque possibile completare il progetto anche prima della valorizzazione delle date nel caso in cui il fornitore ti abbia confermato la corretta attivazione dei servizi. Per completare il progetto, ti invitiamo quindi ad entrare nello step 4 di completamento delle attività, indicare come &quot;completato&quot; lo stato dell&#39;attività, quindi cliccare su &quot;conferma&quot;.</p>",,
[Case],5007Q00000ZGMv5QAH,01152924,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Firma digitale della domanda di finanziamento,1.2 Abilitazione e facilitazione migrazione al Cloud,Firma digitale su allegato 5,Buongiorno il sistema non riconosce la validità del certificato di firma dell'allegato 5. Fuori dal sistema la validità risulta corretta. Come possiamo procedere. Grazie,"<p><span style=""background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">Gentile </span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">Annalisa</span><span style=""background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">, grazie per averci contattato. La tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta. Ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato</span></p>",,
[Case],5007Q00000ZGMw8QAH,01152926,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.2 Abilitazione e facilitazione migrazione al Cloud,Migrazione al cloud inventario e magazzino,"L'Istituzione Scolastica in fase di candidatura ha selezionato tra i servizi migrabili al cloud il servizio ""inventario-magazzino"": nel menu di selezione dei servizi migrabili all'atto della domanda le due voci erano associate. L'Istituto infatti dispone di un software in locale per la gestione dell'inventario e necessita la sua migrazione in cloud. Non dispone e non necessita invece del software magazzino. A riguardo, si rappresenta che il proprio fornitore dei servizi (BitLab - ArgoSoftware) scinde i due servizi e consente esclusivamente l'acquisto in maniera separata e indipendente. Alla luce di quanto esposto, è possibile utilizzare le risorse autorizzate per il solo ed esclusivo servizio di inventario? Tanto tenuto conto che, come premesso, l'istituzione scolastica necessita esclusivamente di questo servizio. In fase di asseverazione potranno esserci delle problematiche in merito poichè non si dispone del software e/o servizio magazzino? Grazie","<p>Gentile Claudia, grazie per averci contattato. </p><p>Ti informiamo in premessa che il servizio di supporto di PaDigitale2026 non ha la competenza di prevalutare gli scenari di ammissibilità delle migrazioni. Questi potranno essere verificati solo in sede di asseverazione.</p><p>Ti ricordiamo in ogni caso che, secondo quanto previsto dall&#39;Allegato 2 dell&#39;Avviso, la migrazione deve essere fatta per tutti gli applicativi, database e sistemi utilizzati per l’erogazione dei servizi selezionati.</p><p>Ti informiamo inoltre che l&#39;Allegato 2 dell&#39;Avviso descrive il servizio &quot;Inventario Magazzino&quot; come quel servizio che &quot;contiene la lista dei componenti attivi e passivi del patrimonio della Scuola, registrati sotto gli aspetti qualitativo e quantitativo, comprese le scorte aziendali.&quot;</p><p>Pertanto dovranno essere migrati tutti gli applicativi, i database e i sistemi utilizzati dall&#39;Ente per la gestione del servizio, come sopra descritto. Qualora il tuo ente non gestisca il Magazzino e quindi non siano presenti all&#39;interno dell&#39;ente strumenti di gestione di questo &quot;sottoservizio&quot;, non è richiesta la migrazione del Magazzino.</p><p>Nel caso tu ritenga utile approfondire la situazione del tuo ente e del tuo progetto ti suggeriamo di richiedere un contatto con l’Account Manager del tuo territorio utilizzando il Form all’indirizzo che segue: https://padigitale2026.gov.it/team-territoriali. </p>",,
[Case],5007Q00000ZGMyiQAH,01152927,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,1.2 Abilitazione e facilitazione migrazione al Cloud,Ammissibilità del finanziamento Registro Elettronico,"Premesso che questo Istituto si serviva da prima del 1 febbraio 2020 della piattaforma AXIOS che, per il registro elettronico, presenta un applicativo ibrido poiché scarica i dati sul database, si chiede l'ammissibilità del finanziamento per il medesimo servizio del registro elettronico, proposto da Spaggiari, ma INTERAMENTE sul cloud.","<p>Gentile Brunella, grazie per averci contattato.</p><p>Ti informiamo in premessa che il servizio di supporto di PaDigitale2026 non ha la competenza di prevalutare gli scenari di ammissibilità delle migrazioni. Questi potranno essere verificati solo in sede di asseverazione. </p><p>In ogni caso, per stabilire l&#39;ammissibilità del tipo di migrazione effettuata, ti suggeriamo di visionare il paragrafo &quot;Scenari di ammissibilità&quot; dell&#39;Allegato 2 dell&#39;Avviso, all&#39;interno del quale sono esemplificate le possibili migrazioni con diversa orgine e diversa destinazione. Ti invitiamo a consultare inoltre le faq pubblicate al seguente link https://padigitale2026.gov.it/supporto/domande-frequenti#05_misure/002-measure-1-2/001_Qualisonogliscenaridimigrazioneammissibili</p><p>Nel caso tu ritenga utile approfondire la situazione del tuo ente e del tuo progetto ti suggeriamo di richiedere un contatto con l’Account Manager del tuo territorio utilizzando il Form all’indirizzo che segue: https://padigitale2026.gov.it/team-territoriali. </p><p><br></p>",,
[Case],5007Q00000ZGMysQAH,01152928,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,Non è possibile carica il file di rinuncia,"Buongiorno,
il problema persiste.
Nonostante le vostre indicazioni rimane sempre la stessa problematica: Attenzione, la firma sul documento non è valida per scadenza temporale o certificato scaduto. Modificala e carica l'ultima versione del documento","<p>Gentile Lucia, grazie per averci contattato.</p><p><br></p><p>Preso atto dell’impossibilità di sottomettere la richiesta di rinuncia firmata digitalmente ti preghiamo, al fine di risolvere il blocco riscontrato, di rispondere alla presente richiesta di assistenza menzionando la misura e indicando testualmente la motivazione della rinuncia tra quelle proposte precedentemente dalla piattaforma e che riportiamo di seguito:</p><p><br></p><p>Errata composizione del pacchetto</p><p>Dati della PA errati</p><p>PA non più interessata al finanziamento</p><p>Altro (aggiungere anche dettaglio motivazione max 255 caratteri)</p>",,
[Case],5007Q00000ZGMzHQAX,01152929,Amministrazione,Altro - Servizi Aggiunti,Enti beneficiari,,misura infrastrutture digitali e cybersecurity 2024,"Buongiorno,
ringrazio per la precedente risposta in merito alla misura 1.1 infrastrutture digitali.
Vi pongo un nuovo quesito: 
nei prossimi mesi  è prevista una nuova misura agevolativa per 
- Province locali?
- Ordini professionali (dottori commercialisti, ingegneri, geometri, avvocati)?
che possa agevolare l'acquisto di attrezzature, macchine, predisposizione wi-fi in ottica di innalzamento livello di sicurezza informatica degli interi Ordine, così come per le Province locali.
Ringrazio e saluto cordialmente
Paola Ianni",,,
[Case],5007Q00000ZGMzmQAH,01152951,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.1 Esperienza dei servizi pubblici,Rinuncia al progetto.,"Si rinvia la rinuncia al progetto, che si allega, per errata composizione del pacchetto.","<p>Gentile Antonino, grazie per averci contattato.</p><p>Ti informiamo che per avviare la procedura di rinuncia è necessario effettuare la stessa tramite la funzionalità &quot;Progetti&quot;, cliccando sul tasto &quot;Rinuncia al progetto&quot;. Il file firmato digitalmente deve essere caricato nell&#39;apposita sezione.</p><p>Ti ricordiamo inoltre che il file di rinuncia generato dalla piattaforma non deve essere modificato prima dell&#39;apposizione della firma digitale del Legale Rappresentante. E&#39; sufficiente anche aprire il file e cliccare su &quot;salva&quot; perché il sistema riconosca il file come diverso rispetto all&#39;originale. </p><p>Ti suggeriamo pertanto di riprovare ad effettuare la procedura di rinuncia e qualora si presentasse un errore ti chiediamo di aprire una nuova richiesta di assistenza allegando uno o più screenshot con evidenza del malfunzionamento riscontrato.</p>",,
[Case],5007Q00000ZGN0fQAH,01152938,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.2 Abilitazione e facilitazione migrazione al Cloud,Subentro nuovo Dirigente Scolastico dal 01/09/2023,"Buongiorno,
da alcuni giorni stiamo provando a fare il subentro del nuovo Dirigente Scolastico senza riuscirci.
Completiamo la prima fase entrando con la carta di identità elettronica.
Ci viene inviata una Email per confermare il subentro. Dopo aver confermato ci appare una scritta (404 pagina non trovata).
Chiediamo un cortese supporto.
Cordiali saluti 
Il Dsga Giovanbattista Albanese
IC di Novelara REIC83100N
3318597869","<p>Gentile Giovanbattista, grazie per averci contattato.</p><p>Ti informiamo che da verifiche effettuate risulta un subentro effettuato da non completato.</p><p>Risulta una &quot;Richiesta di subentro nuovo amministratore</p><p>su PA digitale 2026&quot; in data odierna inviata a</p><p> reic83100n@pec.istruzione.it.</p><p>Di seguito riportiamo il testo:</p><p>Gentile amministrazione,</p><p>GIOVANNI STRAGAPEDE ha richiesto di subentrare a Elena Ferrari in qualità di amministratore su PA digitale 2026. La conferma di questa richiesta revocherà automaticamente l&#39;utenza dell&#39;attuale amministratore Elena Ferrari.</p><p>Al fine di completare il processo è necessario confermare il subentro tramite un click sull&#39;apposito tasto presente nella PEC di conferma subentro e sarà rimandato alla home page dove procederà a fare l&#39;accesso con le proprie credenziali, al fine di confermare definitivamente il subentro e rimuovere il precedente utente.</p><p>Inoltre ti informiamo inoltre che da verifiche non risultano aggiornati i dati IPA. pertanto occorre in primo luogo modificare questi dati su IPA (https://indicepa.gov.it/ipa-portale/). L’aggiornamento è a carico dell&#39;ente.</p><p>L&#39;Ente che vuole richiedere una modifica deve: </p><p>• cercare il proprio Ente all&#39;interno di IPA; </p><p>• compilare il modulo online fornendo i dati del nuovo referente; </p><p>• verificare i dati contenuti nel modulo di richiesta ricevuto all&#39;indirizzo indicato per il nuovo Referente; </p><p>• inviare dal sistema di protocollo informatico dell&#39;Ente, all&#39;indirizzo ipa@pec-ic.agid.gov.it il modulo ricevuto; </p><p>oppure </p><p>• inviare da una casella di Posta Elettronica Certificata, all&#39;indirizzo ipa@pec-ic.agid.gov.it il modulo ricevuto, firmato con firma digitale qualificata in modalità conforme a quanto previsto dall&#39;art. 47, comma 2 lettera a) del CAD. </p><p>È bene ricordare che per visualizzare su PA digitale 2026 i dati aggiornati a seguito di modifiche su IPA, potrebbero essere necessarie fino a 48 ore. </p><p><br></p>","Buongiorno,
abbiamo seguito le indicazioni da lei comunicate, tuttavia ci appare ancora una volta il messaggio di errore che allego alla presente. 
( Pag. 404 pagina non trovata)
Chiediamo un ulteriore supporto da parte Vs.
Si resta in attesa di cortese riscontro.
Saluti.",<p>Ti informiamo che è necessario in primis aggiornare IPA attraverso la procedura precedentemente indicata e successivamente ripeter la procedura di subentro.</p><p>In caso di persistenza della problematica riscontrata ti invitiamo ad aprire una nuova richiesta di supporto.</p>
[Case],5007Q00000ZGN0jQAH,01152931,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Firma digitale della domanda di finanziamento,1.4.3 Adozione appIO,PROBLEMA FIRMA DIGITALE ISTANZA MODIFICA PROGETTO,"Buongiorno,
chiedo assistenza in quanto inserendo l'istanza di modifica del progetto firmata digitalmente compare l'errore ""certificato scaduto o errato"" ma il certificato scade il 12.06.2026. Allego screenshot dell'errore.
Resto in attesa e porgo cordiali saluti.","<p>Gentile Simona, grazie per averci contattato. La tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta. Ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato. </p>",,
